time_s,wear_index,profile,run_id,measured_rpm,measured_manifold_pressure_kpa,measured_intake_temperature_c,measured_fuel_flow_kg_s,measured_torque_nm,measured_power_kw,measured_cht_cylinder_1_c,measured_cht_cylinder_2_c,measured_cht_cylinder_3_c,measured_cht_cylinder_4_c,measured_egt_cylinder_1_c,measured_egt_cylinder_2_c,measured_egt_cylinder_3_c,measured_egt_cylinder_4_c,measured_oil_temperature_c,measured_oil_pressure_psi,measured_oil_flow_l_min,measured_battery_voltage_v,measured_battery_current_a,measured_battery_soc,measured_vibration_rms,measured_vibration_peak,measured_vibration_0_5x,measured_vibration_1x,measured_vibration_2x,rul_seconds
0.9900000000000007,0.006666344728298198,GENTLE,run_017,3429.0,40.550000000000004,0.2,3.0000000000000004e-05,44.5,15.69,48.800000000000004,49.7,49.2,50.6,45.7,46.2,42.800000000000004,47.900000000000006,50.2,87.30000000000001,0.11,24.0,0.42,1.0,0.17400000000000002,0.401,0.014,0.098,0.063,80.88000000000498
1.9900000000000015,0.014402292268851695,GENTLE,run_017,3778.0,40.660000000000004,-0.9,5e-05,44.800000000000004,17.39,48.900000000000006,48.7,49.6,47.5,45.400000000000006,47.7,44.300000000000004,45.1,50.5,88.30000000000001,0.19,24.0,0.53,1.0,0.162,0.38,0.016,0.096,0.045,79.88000000000498
2.9899999999999802,0.02343199148511702,GENTLE,run_017,4022.0,40.33,0.2,0.0,43.800000000000004,18.56,49.0,48.300000000000004,49.900000000000006,47.2,46.0,46.400000000000006,44.400000000000006,42.2,51.400000000000006,89.7,0.16,23.990000000000002,0.6900000000000001,0.992,0.167,0.371,0.022,0.096,0.053,78.880000000005
3.989999999999959,0.03346887977494366,GENTLE,run_017,4207.0,40.6,0.4,0.0,44.5,19.34,46.800000000000004,48.7,46.900000000000006,46.300000000000004,43.7,46.5,43.0,48.6,50.0,90.0,0.16,24.01,0.5,1.0,0.177,0.43,0.019,0.106,0.053,77.88000000000503
4.989999999999938,0.04425228936518911,GENTLE,run_017,4327.0,40.550000000000004,0.5,0.0,44.900000000000006,19.84,47.1,49.1,48.0,47.0,43.1,43.5,44.400000000000006,46.5,50.6,91.10000000000001,0.21,23.92,0.53,0.995,0.153,0.327,0.027,0.10300000000000001,0.018000000000000002,76.88000000000504
5.989999999999917,0.05557011486177354,GENTLE,run_017,4415.0,40.35,-0.2,0.0,44.900000000000006,20.31,47.1,46.7,46.2,46.2,45.2,47.5,45.2,43.900000000000006,50.7,90.10000000000001,0.19,24.05,0.53,1.0,0.177,0.372,0.005,0.083,0.067,75.88000000000505
6.989999999999895,0.06726140716101009,GENTLE,run_017,4474.0,40.480000000000004,0.5,1e-05,44.1,20.6,45.400000000000006,46.400000000000006,46.6,47.2,45.900000000000006,44.900000000000006,44.900000000000006,42.1,51.300000000000004,90.2,0.14,23.94,0.63,0.994,0.166,0.404,0.008,0.094,0.05,74.88000000000508
7.989999999999874,0.07920942642889447,GENTLE,run_017,4512.0,40.32,0.4,0.0,44.2,20.62,45.800000000000004,46.6,45.2,46.5,47.6,43.6,43.400000000000006,47.300000000000004,51.2,90.10000000000001,0.15,24.02,0.37,1.0,0.163,0.3,0.025,0.098,0.005,73.88000000000511
8.989999999999853,0.09133196663242396,GENTLE,run_017,4531.0,40.22,-0.30000000000000004,4e-05,43.800000000000004,20.830000000000002,45.0,45.1,46.7,45.1,43.900000000000006,45.400000000000006,43.800000000000004,49.7,51.0,90.9,0.12,24.01,0.63,1.0,0.158,0.34,0.018000000000000002,0.093,0.048,72.88000000000513
9.989999999999831,0.10357225783880394,GENTLE,run_017,4556.0,40.34,0.8,0.0,44.400000000000006,20.740000000000002,44.900000000000006,44.7,44.6,45.300000000000004,43.2,47.7,45.800000000000004,47.0,52.6,89.9,0.13,24.03,0.33,0.993,0.157,0.321,0.02,0.11,0.019,71.88000000000514
10.98999999999981,0.11589159833894364,GENTLE,run_017,4558.0,40.27,0.4,0.0,43.900000000000006,20.82,46.1,44.5,43.300000000000004,44.0,45.6,47.900000000000006,48.300000000000004,46.800000000000004,51.300000000000004,89.80000000000001,0.18,24.02,0.58,0.998,0.177,0.363,0.016,0.107,0.066,70.88000000000517
