time_s,wear_index,profile,run_id,measured_rpm,measured_manifold_pressure_kpa,measured_intake_temperature_c,measured_fuel_flow_kg_s,measured_torque_nm,measured_power_kw,measured_cht_cylinder_1_c,measured_cht_cylinder_2_c,measured_cht_cylinder_3_c,measured_cht_cylinder_4_c,measured_egt_cylinder_1_c,measured_egt_cylinder_2_c,measured_egt_cylinder_3_c,measured_egt_cylinder_4_c,measured_oil_temperature_c,measured_oil_pressure_psi,measured_oil_flow_l_min,measured_battery_voltage_v,measured_battery_current_a,measured_battery_soc,measured_vibration_rms,measured_vibration_peak,measured_vibration_0_5x,measured_vibration_1x,measured_vibration_2x,rul_seconds
0.9900000000000007,0.016046158579498936,NOMINAL,run_043,3755.0,60.58,0.1,6.000000000000001e-05,65.0,25.92,49.800000000000004,50.400000000000006,49.2,50.900000000000006,58.7,61.2,56.900000000000006,58.2,51.5,89.60000000000001,0.17,25.1,-1.51,0.995,0.155,0.308,0.022,0.08700000000000001,0.015,60.549999999996324
1.9900000000000015,0.026411551115691084,NOMINAL,run_043,4268.0,59.88,-0.2,0.0,66.8,29.59,49.0,47.900000000000006,51.2,50.400000000000006,64.4,64.10000000000001,66.0,66.5,50.800000000000004,90.5,0.16,25.1,-1.5,1.0,0.151,0.316,0.03,0.101,0.018000000000000002,59.549999999996324
2.9899999999999802,0.0390708754784071,NOMINAL,run_043,4615.0,60.38,0.5,0.0,66.0,31.650000000000002,51.1,50.7,52.0,51.6,67.4,68.9,66.2,67.60000000000001,50.6,91.0,0.14,25.05,-1.53,0.999,0.16,0.359,0.016,0.109,0.027,58.549999999996345
3.989999999999959,0.05327917735182056,NOMINAL,run_043,4804.0,60.22,0.5,2e-05,65.10000000000001,32.84,51.0,51.2,49.7,51.0,71.0,71.3,71.8,70.4,51.400000000000006,92.30000000000001,0.17,25.080000000000002,-1.51,1.0,0.158,0.321,0.025,0.098,0.032,57.549999999996366
4.989999999999938,0.06845211290472236,NOMINAL,run_043,4936.0,60.27,0.1,8e-05,65.8,33.59,51.2,51.1,51.5,51.5,73.60000000000001,71.7,70.8,71.2,52.7,92.5,0.11,25.060000000000002,-1.69,1.0,0.179,0.41500000000000004,0.015,0.105,0.064,56.54999999999639
5.989999999999917,0.08419763270333627,NOMINAL,run_043,4997.0,60.35,-0.5,0.0,65.5,33.86,51.5,51.300000000000004,52.1,49.6,71.0,69.60000000000001,74.8,72.9,52.5,91.7,0.13,25.22,-1.52,1.0,0.17300000000000001,0.381,0.02,0.098,0.055,55.54999999999641
6.989999999999895,0.10027375754695224,NOMINAL,run_043,5046.0,60.29,0.4,3.0000000000000004e-05,64.3,34.08,50.6,52.400000000000006,52.300000000000004,51.900000000000006,71.10000000000001,74.8,74.2,74.3,53.2,92.0,0.23,25.02,-1.32,0.998,0.162,0.366,0.021,0.10200000000000001,0.024,54.54999999999643
7.989999999999874,0.11653780021785624,NOMINAL,run_043,5063.0,60.5,0.7000000000000001,0.0,62.7,34.17,52.2,52.900000000000006,51.400000000000006,52.2,72.2,75.7,75.0,72.4,53.900000000000006,91.9,0.08,25.04,-1.58,0.993,0.17500000000000002,0.404,0.021,0.107,0.05,53.54999999999645
8.989999999999853,0.132907718017574,NOMINAL,run_043,5074.0,60.24,0.5,0.0,64.7,34.2,52.2,52.400000000000006,52.2,52.800000000000004,72.7,72.10000000000001,73.4,75.2,55.800000000000004,91.4,0.19,24.95,-1.77,0.993,0.163,0.357,0.023,0.099,0.013000000000000001,52.54999999999647
9.989999999999831,0.14933699297419079,NOMINAL,run_043,5086.0,60.15,0.4,0.0,65.10000000000001,34.31,53.400000000000006,53.800000000000004,53.1,53.300000000000004,74.5,74.10000000000001,71.7,72.8,55.800000000000004,91.60000000000001,0.16,25.14,-1.61,0.991,0.196,0.425,0.021,0.10300000000000001,0.068,51.549999999996494
10.98999999999981,0.16579945375191552,NOMINAL,run_043,5086.0,60.410000000000004,0.1,0.0,64.5,34.25,52.2,52.5,53.900000000000006,52.800000000000004,70.8,71.5,75.10000000000001,70.2,56.7,89.9,0.16,24.990000000000002,-1.53,1.0,0.187,0.41100000000000003,0.018000000000000002,0.10200000000000001,0.046,50.549999999996515
